nombre_regimiento,codigo,codigo_division,cod_fuerza
"RI - 1 ""COLORADOS DE BOLIVIA""   ",323100,1,1
"RPM - 1 ""CAP. SAAVEDRA""",323200,1,1
"BAT. COM. - I ""CNL. VIDAURRE""",323500,1,1
ITPPE. LP.,325200,1,1
"RCM - 4 ""INGAVI""    ",323900,1,1
"RIM - 8 ""AYACUCHO""",381200,1,1
"RAM - 2 ""BOLIVAR""",381400,1,1
"RAAM - 6 ""MCAL. BILBAO""",381700,1,1
"RIM-23 ""MAX TOLEDO"" ",381800,1,1
"RCB - 1 ""CALAMA""",323700,1,1
"RCM - 5 ""GRAL. LANZA"" ",381300,1,1
"BAT. ING. - II ""GRAL. ROMAN""",381500,1,1
"COL. MIL. ""CNL. GUALBERTO VILLARROEL""",331510,1,1
"EMTE. ""TCNL. JUAN ONDARZA""",331530,1,1
C.G.M.E.,324100,1,1
BAT. TRANS. I,392564,1,1
"EMME. ""TCNL. ADRIAN PATIÑO""",331540,1,1
"GADA. 91 ""TTE. VARGAS""",481400,1,2
"GADA. 97 ""MY. INCHAUSTE""",422411,1,2
"BPMN. N° 1 ""TN. CGON. WILSON PEREZ U.""",534100,1,3
"BIM - VI  ""INDEPENDENCIA""",584500,1,3
"BASE NAVAL ""TITICACA""",584400,1,3
"BIM - IV  ""ALIANZA""",584600,1,3
"BASE NAVAL ""BALLIVIÁN""",581600,1,3
"BASE NAVAL ""GUAQUI""",584300,1,3
"RS. - 1 ""TTE. GRAL. BUSCH""",351400,2,1
"RI - 21 ""ILLIMANI""",382200,2,1
"BAT. LOG. - I ""HEROICAS RABONAS""",382300,2,1
"RA - 1 ""MY. GRAL. CAMACHO""",382400,2,1
"EMMFAB ""SGTO. MY. SANTOS""",422412,2,2
"RC - 3 ""AROMA""",383300,3,1
"RI- 20 ""TCNL. PADILLA""",383600,3,1
"BAT. ING. - I ""CNL. MENDEZ""",383500,3,1
"RA - 3 ""PISAGUA""",383400,3,1
"GADA. 94 ""TTE. ROJAS Y ROJAS""",484400,3,2
"GAT. 63 ""TTE. ERNST RIVERA""",484200,3,2
ARÉA NAVAL N° 3 BERMEJO,533000,3,3
"RI-2 ""MCAL. SUCRE""",387200,4,1
"BAT. ING. - V  ""TCNL. OVANDO""",387500,4,1
ECEMA.,433100,4,2
"RI - 29 ""CAP. ECHEVERRIA""",386500,6,1
"RIS.-16 ""TCNL. JORDAN""",351300,6,1
"RI - 17 ""INDEPENDENCIA""",386200,6,1
"GADA. 95 ""TTE. ARELLANO""",485200,6,2
"GA. 62 ""CAP. AV. VERDUGUEZ""",485100,6,2
"BIM - II ""TOCOPILLA""",582300,6,3
"BASE NAVAL  ""SANTA ANA""",582200,6,3
"BIM - I ""BAGUE""",581300,6,3
"BIM - III ""MEJILLONES""",583700,6,3
"RIAEROTRANS. - 18 ""VICTORIA""",387700,7,1
"RAA - 7 ""TUMUSLA""",387400,7,1
CGMMB. - II,392562,7,1
"RPM - 3  ""GRAL ARZE""",387900,7,1
BAT. C Y S VII,382800,7,1
"RI - 26 ""MCAL. AZURDUY""",387600,7,1
BAT. TRANS. III,324400,7,1
"RI - 31 ""CNL. RIOS""",389200,7,1
"RPM - 5 ""GRAL. MURGUIA""    ",389300,7,1
"RI - 33 ""CNL. CABRERA""  ",389400,7,1
"EMSE. ""SGTO. MAXIMILIANO PAREDES""",331520,7,1
"GADA. 92 ""SBTTE. CALVO""",482700,7,2
"POLMILAE ""SBTTE. ARDILES""",432200,7,2
"GAE. 22 ""GRAL. DIV. AE. ALBERTO PAZ """,432160,7,2
"BPMN. N° 2 ""CN. DAEN. MARIO TORRICO D.""",531200,7,3
"BASE NAVAL ""CC. CGON. CARLOS CABALLERO""",531100,7,3
"RS. - 2 ""CNL. MANCHEGO""",351200,8,1
"RAA - 8 ""TCNL. AGUIRRE""",388950,8,1
"RI - 7 ""GRAL. MARZANA""",388200,8,1
"RI - 10 ""CNL. WARNES""",388300,8,1
"RC - 10 ""GRAL. MERCADO""",388900,8,1
"RPM - 2 ""TTE. AMEZAGA""",388700,8,1
"RI - 11 ""BOQUERÓN""",384500,8,1
"RC - 1 ""CNL. AVAROA""",384300,8,1
"RI - 13 ""GRAL. MONTES""",385200,8,1
"RI - 15 ""JUNIN"" ",385500,8,1
BAT. TRANS. IV,324500,8,1
"RC - 6 ""CAP. CASTRILLO""",385300,8,1
III BRIGADA,483000,8,2
"GADA. 93 ""CNL. ARABE""   ",483600,8,2
COL. MIL. AV.,432100,8,2
"GA. 61 ""GRAL. DIV. AE. GARCIA""",482600,8,2
"GA. 83 ""TCNL. DEL CARPIO""",482500,8,2
ARÉA NAVAL N° 2,532000,8,3
"BIM - V ""CALAMA""",585300,8,3
"RI - 35 ""BRUNO RACUA""",386610,9,1
"GA. 64 ""GRAL. SANTALLA""",486100,9,2
"BIM - VII ""C. PORVENIR""",586500,9,3
"RI - 3 ""GRAL. PEREZ""",391200,10,1
"RC - 7 ""CHICHAS""",391300,10,1
"RI - 4 ""LOA""",391400,10,1
"GA. 65 ""CNL. AV. AMALIA VILLA""",481460,10,2
