"idubigeo";"id_padre";"ubigeo";"codigoubigeo";"descubigeo";"nivel";"siglaubigeo";"created_at";"updated_at"
292;263;8;"4.8";CARANGAS;PROVINCIA;CRG;;
293;292;1;"4.8.1";Corque;MUNICIPIO;CRQ;;
295;292;31;"4.8.31";Multimunicipal;MUNICIPIO;D08;;
296;263;9;"4.9";SAJAMA;PROVINCIA;SJM;;
297;296;1;"4.9.1";Curahuara de Carangas;MUNICIPIO;CDC;;
298;296;2;"4.9.2";Turco;MUNICIPIO;TUR;;
299;296;31;"4.9.31";Multimunicipal;MUNICIPIO;D09;;
300;263;10;"4.10";LITORAL DE ATACAMA;PROVINCIA;LIT;;
302;300;2;"4.10.2";Escara;MUNICIPIO;ESA;;
303;300;3;"4.10.3";Cruz de Machacamarca;MUNICIPIO;CMA;;
304;300;4;"4.10.4";Yunguyo de Litoral;MUNICIPIO;YUG;;
305;300;5;"4.10.5";Esmeralda;MUNICIPIO;ESM;;
306;300;31;"4.10.31";Multimunicipal;MUNICIPIO;D10;;
307;263;11;"4.11";SAUCARI;PROVINCIA;SCR;;
308;307;1;"4.11.1";Toledo;MUNICIPIO;TOL;;
309;307;31;"4.11.31";Multimunicipal;MUNICIPIO;D11;;
310;263;12;"4.12";SUD CARANGAS;PROVINCIA;SCA;;
311;310;1;"4.12.1";Andamarca (Stgo. de Andamarca);MUNICIPIO;AND;;
312;310;2;"4.12.2";Belen de Andamarca;MUNICIPIO;BEL;;
313;310;31;"4.12.31";Multimunicipal;MUNICIPIO;D12;;
314;263;13;"4.13";LADISLAO CABRERA;PROVINCIA;CBR;;
316;314;2;"4.13.2";Pampa Aullagas;MUNICIPIO;PAM;;
317;314;31;"4.13.31";Multimunicipal;MUNICIPIO;D13;;
318;263;14;"4.14";PUERTO DE MEJILLONES;PROVINCIA;MEJ;;
319;318;1;"4.14.1";La Rivera;MUNICIPIO;RIV;;
320;318;2;"4.14.2";Todos Santos;MUNICIPIO;TOS;;
321;318;3;"4.14.3";Carangas;MUNICIPIO;CGA;;
322;318;31;"4.14.31";Multimunicipal;MUNICIPIO;D14;;
323;263;15;"4.15";ATAHUALLPA;PROVINCIA;ATA;;
324;323;1;"4.15.1";Sabaya;MUNICIPIO;SAB;;
325;323;2;"4.15.2";Coipasa;MUNICIPIO;COI;;
327;323;31;"4.15.31";Multimunicipal;MUNICIPIO;D15;;
328;263;16;"4.16";NOR CARANGAS;PROVINCIA;NCA;;
329;328;1;"4.16.1";Huayllamarca (Stgo. de Huayllamarca);MUNICIPIO;SDH;;
330;328;31;"4.16.31";Multimunicipal;MUNICIPIO;D16;;
331;263;31;"4.31";MULTIPROVINCIAL;PROVINCIA;MP4;;
332;331;31;"4.31.31";MULTIMUNICIPAL;MUNICIPIO;DM1;;
333;;5;"5";POTOSI;DEPTO;PTS;;
334;333;1;"5.1";TOMAS FRIAS;PROVINCIA;FRI;;
335;334;1;"5.1.1";Potosí;MUNICIPIO;POT;;
336;334;2;"5.1.2";Tinguipaya;MUNICIPIO;TIN;;
337;334;3;"5.1.3";Yocalla;MUNICIPIO;YOC;;
338;334;4;"5.1.4";Urmiri;MUNICIPIO;URM;;
339;334;31;"5.1.31";Multimunicipal;MUNICIPIO;E01;;
340;333;2;"5.2";RAFAEL BUSTILLOS;PROVINCIA;BUS;;
341;340;1;"5.2.1";Uncía;MUNICIPIO;UNC;;
342;340;2;"5.2.2";Chayanta;MUNICIPIO;CHY;;
343;340;3;"5.2.3";Llallagua;MUNICIPIO;LLA;;
344;340;4;"5.2.4";"Chuquiuta ""Ayllu Jucumani""";MUNICIPIO;JUC;;
345;340;31;"5.2.31";Multimunicipal;MUNICIPIO;E02;;
346;333;3;"5.3";CORNELIO SAAVEDRA;PROVINCIA;SAV;;
347;346;1;"5.3.1";Betanzos;MUNICIPIO;BET;;
348;346;2;"5.3.2";Chaqui;MUNICIPIO;CHQ;;
349;346;3;"5.3.3";Tacobamba;MUNICIPIO;TCB;;
350;346;31;"5.3.31";Multimunicipal;MUNICIPIO;E03;;
351;333;4;"5.4";CHAYANTA;PROVINCIA;CYT;;
352;351;1;"5.4.1";Colquechaca;MUNICIPIO;CCQ;;
353;351;2;"5.4.2";Ravelo;MUNICIPIO;RAV;;
354;351;3;"5.4.3";Pocoata;MUNICIPIO;PCT;;
355;351;4;"5.4.4";Ocurí;MUNICIPIO;OCU;;
356;351;31;"5.4.31";Multimunicipal;MUNICIPIO;E04;;
357;333;5;"5.5";CHARCAS;PROVINCIA;CRC;;
358;357;1;"5.5.1";San Pedro;MUNICIPIO;PED;;
359;357;2;"5.5.2";Toro Toro;MUNICIPIO;TTO;;
360;357;31;"5.5.31";Multimunicipal;MUNICIPIO;E05;;
361;333;6;"5.6";NOR CHICHAS;PROVINCIA;NCH;;
362;361;1;"5.6.1";Cotagaita;MUNICIPIO;COT;;
363;361;2;"5.6.2";Vitichi;MUNICIPIO;VIT;;
364;361;31;"5.6.31";Multimunicipal;MUNICIPIO;E06;;
365;333;7;"5.7";SUR CHICHAS;PROVINCIA;SCH;;
366;365;1;"5.7.1";Tupiza;MUNICIPIO;TUP;;
367;365;2;"5.7.2";Atocha;MUNICIPIO;ATO;;
368;365;31;"5.7.31";Multimunicipal;MUNICIPIO;E07;;
369;333;8;"5.8";NOR LIPEZ;PROVINCIA;NLI;;
370;369;1;"5.8.1";"Colcha""K"" (Villa Martín)";MUNICIPIO;CCK;;
371;369;2;"5.8.2";San Pedro de Quemes;MUNICIPIO;PEQ;;
372;369;31;"5.8.31";Multimunicipal;MUNICIPIO;E08;;
373;333;9;"5.9";SUR LIPEZ;PROVINCIA;SLI;;
374;373;1;"5.9.1";San Pablo de Lípez;MUNICIPIO;PAB;;
375;373;2;"5.9.2";Mojinete;MUNICIPIO;MOJ;;
376;373;3;"5.9.3";San Antonio de Esmoruco;MUNICIPIO;SAT;;
377;373;31;"5.9.31";Multimunicipal;MUNICIPIO;E09;;
378;333;10;"5.10";ALONSO DE IBAÑEZ;PROVINCIA;IBA;;
379;378;1;"5.10.1";Sacaca (Villa de Sacaca);MUNICIPIO;SAC;;
380;378;2;"5.10.2";Caripuyo;MUNICIPIO;CRP;;
381;378;31;"5.10.31";Multimunicipal;MUNICIPIO;E10;;
382;333;11;"5.11";JOSE MARIA LINARES;PROVINCIA;LIN;;
384;382;2;"5.11.2";"Caiza ""D""";MUNICIPIO;CAD;;
385;382;3;"5.11.3";Ckochas;MUNICIPIO;CKO;;
386;382;31;"5.11.31";Multimunicipal;MUNICIPIO;E11;;
387;333;12;"5.12";ANTONIO QUIJARRO;PROVINCIA;QUJ;;
388;387;1;"5.12.1";Uyuni;MUNICIPIO;UYU;;
389;387;2;"5.12.2";Tomave;MUNICIPIO;TOM;;
390;387;3;"5.12.3";Porco;MUNICIPIO;PRC;;
391;387;31;"5.12.31";Multimunicipal;MUNICIPIO;E12;;
392;333;13;"5.13";GENERAL BERNARDINO BILBAO;PROVINCIA;BIL;;
393;392;1;"5.13.1";Arampampa;MUNICIPIO;ARP;;
394;392;2;"5.13.2";Acasio;MUNICIPIO;ACA;;
395;392;31;"5.13.31";Multimunicipal;MUNICIPIO;E13;;
396;333;14;"5.14";DANIEL CAMPOS;PROVINCIA;DCA;;
397;396;1;"5.14.1";Llica;MUNICIPIO;LLI;;
